1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
x,MFAmain,90,,,,,,,,,,,,,
41145,40606,39781,40083,3008,5822,9064,14624,21866,26325,27283,33164,37228,,,
40779,40848,40464,40256,3289,5585,9243,14560,22546,26137,28931,33614,36464,,,
41896,40013,40507,40558,3372,5614,8894,14817,22573,25479,27993,34204,36248,,,
41107,40434,40143,40388,3492,5665,9301,14721,23461,25579,28738,32685,36673,,,
0,0,0,0,12,10,8,6,4,3,2.5,2,1.5,,,
0,0,0,0,0,0,0,0,0,0,0,0,0,,,
0,0,0,0,0,0,0,0,0,0,0,0,0,,,
x,FAEmain,88,,,,,,,,,,,,,
33803,34087,32150,33567,26117,11118,15437,16734,21067,24971,26413,27972,,,,
32930,34717,32206,33567,25985,11529,14686,14937,21160,24040,26241,26501,,,,
32472,33596,32909,32788,27167,10890,14502,13782,21042,22698,25472,28645,,,,
32395,33152,31998,32284,27461,12141,15169,15152,20580,23764,23896,26699,,,,
0,0,0,0,2,2,2,2,2,2,2,2,,,,
0,0,0,0,0,0.35,0.3,0.25,0.2,0.15,0.1,0.05,,,,
0,0,0,0,0,0,0,0,0,0,0,0,,,,
x,AAPmain,98,,,,,,,,,,,,,
33309,34728,33234,23665,15467,15826,18140,16633,18842,18629,20630,21714,,,,
33713,33685,34094,23350,15576,15616,15581,17116,18564,18736,21684,22403,,,,
33321,34507,32365,23712,15673,15873,15697,16726,17590,18912,21313,21766,,,,
33660,33400,34037,23944,15323,15333,15776,16697,18094,18828,21161,22673,,,,
0,0,0,2,2,2,2,2,2,2,2,2,,,,
0,0,0,0,0,0,0,0,0,0,0,0,,,,
0,0,0,0,5,4,3,2,1,0.8,0.6,0.4,,,,
x,ALLmain,77,,,,,,,,,,,,,
32679,35372,29107,28687,28248,24715,16733,18105,21737,22239,20555,5490,11918,8401,6840,3449
35361,34614,29797,28295,28330,22762,18160,17889,21599,20944,19955,5397,13935,8790,5298,3357
34481,33625,30577,28513,27576,23082,17109,16592,22422,20245,19925,5214,13589,9075,4776,2958
33877,33828,30691,29716,27247,24094,18183,14007,22588,19792,19018,4269,15569,9043,5102,2489
0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2
0,0,0,0,0,0.15,0.2,0.25,0,0,0,0.2,0.15,0.15,0.15,0.25
0,0,0,0,0,0,0,0,0.25,0.5,1,0.5,0.25,0.5,1,0.5
,,,,,,,,,,,,,,,
x,MFAsup1,96,,,,,,,,,,,,,
28846,29516,32048,14358,15730,17798,20883,23636,26307,,,,,,,
29552,29548,30632,13375,16879,17950,23204,23187,26365,,,,,,,
29417,30519,30294,14097,15829,19626,20347,22172,26277,,,,,,,
29504,30100,30383,14323,19038,18610,21751,22991,26583,,,,,,,
0,0,0,4,3.5,3,2.5,2,1.5,,,,,,,
0,0,0,0,0,0,0,0,0,,,,,,,
0,0,0,0,0,0,0,0,0,,,,,,,
x,MFAsup2,181,,,,,,,,,,,,,
31760,33988,33259,8200,10813,13249,18727,19118,27121,,,,,,,
31640,34527,33036,7975,10014,13486,17883,19580,27191,,,,,,,
30023,35071,32974,8328,10164,13829,16333,20564,25473,,,,,,,
34999,34068,31894,7606,10335,13778,16924,21714,26647,,,,,,,
0,0,0,4,3.5,3,2.5,2,1.5,,,,,,,
0,0,0,0,0,0,0,0,0,,,,,,,
0,0,0,0,0,0,0,0,0,,,,,,,
x,MFAsup3,305,,,,,,,,,,,,,
32027,32608,32627,3036,4974,7197,10635,14231,21334,,,,,,,
33396,32603,31637,3124,5034,8086,12430,13753,20377,,,,,,,
32498,33831,30282,2887,4889,6736,10492,13437,20855,,,,,,,
32974,32493,30961,2833,5147,6836,11886,13600,21944,,,,,,,
0,0,0,4,3.5,3,2.5,2,1.5,,,,,,,
0,0,0,0,0,0,0,0,0,,,,,,,
0,0,0,0,0,0,0,0,0,,,,,,,
x,allsup1,61,,,,,,,,,,,,,
40042,37934,34481,31633,30722,24899,23366,20729,17132,15424,28320,28166,27515,25530,,
39957,37335,35428,33181,29715,25832,22925,19509,17830,14660,28805,27038,25768,24767,,
39457,36677,34474,31384,28422,28339,22675,21934,17866,16070,29081,25546,25064,25895,,
0,0,0,2,2,2,2,2,2,2,2,2,2,2,,
0,0,0,0,0.2,0.25,0.3,0.35,0.4,0.5,0,0,0,0,,
0,0,0,0,0,0,0,0,0,0,0.25,0.5,1,1.5,,
x,allsup2,91,,,,,,,,,,,,,
30019,29705,29967,24497,22652,18821,15502,12661,9450,7470,21951,19625,18117,16945,,
28754,29512,29748,24355,22804,19164,15590,11923,8812,8349,21456,19771,17838,16234,,
29706,29200,29298,24449,22650,19641,14999,13310,9752,8742,21948,19430,17741,16987,,
0,0,0,2,2,2,2,2,2,2,2,2,2,2,,
0,0,0,0,0.2,0.25,0.3,0.35,0.4,0.5,0,0,0,0,,
0,0,0,0,0,0,0,0,0,0,0.25,0.5,1,1.5,,
x,allsup3,131,,,,,,,,,,,,,
26829,26910,24696,21649,17341,14441,10841,7893,4975,3513,17120,14411,12329,11899,,
26298,30793,26009,22378,18714,14618,10711,8090,5253,4005,17042,14512,12501,11831,,
30882,29492,24548,24568,18179,15323,11667,8101,5421,4120,17658,14606,12545,11917,,
0,0,0,2,2,2,2,2,2,2,2,2,2,2,,
0,0,0,0,0.2,0.25,0.3,0.35,0.4,0.5,0,0,0,0,,
0,0,0,0,0,0,0,0,0,0,0.25,0.5,1,1.5,,